metabolite,Super pathway,Sub pathway,Kegg pathways,Kegg pathway classes,Chemical family
phenylephrine,Xenobiotics,Drug - Respiratory,,,Phenols
phenyllactate (PLA),Amino Acid,Phenylalanine Metabolism,,,Phenylpropanoic acids
phosphate,Energy,Oxidative Phosphorylation,,,Non-metal oxoanionic compounds
phosphoethanolamine (PE),Lipid,Phospholipid Metabolism,Sphingolipid metabolism;Sphingolipid signaling pathway;Glycerophospholipid metabolism;Cationic antimicrobial peptide (CAMP) resistance,Lipid metabolism;Signal transduction;Drug resistance: antimicrobial,Organic phosphoric acids and derivatives
phytosphingosine,Lipid,Sphingolipid Synthesis,Sphingolipid metabolism,Lipid metabolism,Organonitrogen compounds
picolinate,Amino Acid,Tryptophan Metabolism,Tryptophan metabolism,Amino acid metabolism,Pyridines and derivatives
pimelate (C7-DC),Lipid,"Fatty Acid, Dicarboxylate",Biotin metabolism,Metabolism of cofactors and vitamins,Fatty Acyls
pipecolate,Amino Acid,Lysine Metabolism,,,Carboxylic acids and derivatives
piperidine,Xenobiotics,Food Component/Plant,"Protein digestion and absorption;Tropane, piperidine and pyridine alkaloid biosynthesis",Biosynthesis of other secondary metabolites;Digestive system,Piperidines
pregnanediol-3-glucuronide,Lipid,Progestin Steroids,,,Steroids and steroid derivatives
pregnen-diol disulfate*,Lipid,Pregnenolone Steroids,,,Steroids and steroid derivatives
pregnenetriol disulfate*,Lipid,Pregnenolone Steroids,,,
prolylhydroxyproline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,,,Carboxylic acids and derivatives
progesterone,Lipid,Progestin Steroids,"Progesterone, androgen and estrogen receptor agonists/antagonists;Oocyte meiosis;Steroid hormone biosynthesis;Cortisol synthesis and secretion;Glucocorticoid and mineralocorticoid receptor agonists/antagonists;Prolactin signaling pathway;Prostate cancer;Ovarian steroidogenesis;Breast cancer;Cushing syndrome;Pathways in cancer;Aldosterone synthesis and secretion;Progesterone-mediated oocyte maturation",Target-based classification: Nuclear receptors;Endocrine system;Cancer: specific types;Lipid metabolism;Cell growth and death;Cancer: overview;Endocrine and metabolic disease,Steroids and steroid derivatives
proline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,Mineral absorption;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Novobiocin biosynthesis;Prodigiosin biosynthesis;Carbapenem biosynthesis;Central carbon metabolism in cancer;ABC transporters;Arginine and proline metabolism;Protein digestion and absorption;Staurosporine biosynthesis,Amino acid metabolism;Biosynthesis of other secondary metabolites;Translation;Membrane transport;Global and overview maps;Digestive system;Cancer: overview,Carboxylic acids and derivatives
prolylglycine,Peptide,Dipeptide,,,Carboxylic acids and derivatives
propionylcarnitine (C3),Lipid,Fatty Acid Metabolism (also BCAA Metabolism),,,Fatty Acyls
propyl 4-hydroxybenzoate sulfate,Xenobiotics,Benzoate Metabolism,,,Organic sulfuric acids and derivatives
pseudouridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",Pyrimidine metabolism,Nucleotide metabolism,Nucleoside and nucleotide analogues
putrescine,Amino Acid,Polyamine Metabolism,"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of plant secondary metabolites;D-Arginine and D-ornithine metabolism;ABC transporters;Arginine and proline metabolism;Protein digestion and absorption;Glutathione metabolism;Tropane, piperidine and pyridine alkaloid biosynthesis",Amino acid metabolism;Biosynthesis of other secondary metabolites;Chemical structure transformation maps;Metabolism of other amino acids;Membrane transport;Digestive system,Organonitrogen compounds
pyridoxamine,Cofactors and Vitamins,Vitamin B6 Metabolism,Vitamin B6 metabolism;Vitamin digestion and absorption,Metabolism of cofactors and vitamins;Digestive system,Pyridines and derivatives
pyridoxate,Cofactors and Vitamins,Vitamin B6 Metabolism,Vitamin B6 metabolism,Metabolism of cofactors and vitamins,Pyridines and derivatives
pyrraline,Xenobiotics,Food Component/Plant,,,Carboxylic acids and derivatives
pyruvate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","Monobactam biosynthesis;D-Alanine metabolism;Alanine, aspartate and glutamate metabolism;Biosynthesis of alkaloids derived from histidine and purine;Glycine, serine and threonine metabolism;Dioxin degradation;Biosynthesis of amino acids;Carbon fixation pathways in prokaryotes;Citrate cycle (TCA cycle);Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;HIF-1 signaling pathway;Glycolysis / Gluconeogenesis;Insulin resistance;Xylene degradation;Taurine and hypotaurine metabolism;Type II diabetes mellitus;Phosphotransferase system (PTS);Biosynthesis of various secondary metabolites - part 3;Biosynthesis of terpenoids and steroids;C5-Branched dibasic acid metabolism;Cysteine and methionine metabolism;Nicotinate and nicotinamide metabolism;Biosynthesis of plant secondary metabolites;Carbon fixation in photosynthetic organisms;Insulin secretion;Vancomycin resistance;Central carbon metabolism in cancer;Thiamine metabolism;2-Oxocarboxylic acid metabolism;Benzoate degradation;Terpenoid backbone biosynthesis;Degradation of aromatic compounds;Pentose and glucuronate interconversions;Methane metabolism;Pantothenate and CoA biosynthesis;Tyrosine metabolism;Phosphonate and phosphinate metabolism;Arginine and proline metabolism;Biosynthesis of plant hormones;Butanoate metabolism;Biosynthesis of alkaloids derived from terpenoid and polyketide;Glyoxylate and dicarboxylate metabolism;Biosynthesis of phenylpropanoids;Phenylalanine metabolism;Pyruvate metabolism;AMPK signaling pathway;Carbon metabolism;Biosynthesis of various secondary metabolites - part 1;Biosynthesis of alkaloids derived from shikimate pathway;Valine, leucine and isoleucine biosynthesis;Ascorbate and aldarate metabolism;Pentose phosphate pathway;Glucagon signaling pathway",Amino acid metabolism;Biosynthesis of other secondary metabolites;Endocrine system;Metabolism of cofactors and vitamins;Chemical structure transformation maps;Metabolism of other amino acids;Metabolism of terpenoids and polyketides;Membrane transport;Global and overview maps;Xenobiotics biodegradation and metabolism;Signal transduction;Cancer: overview;Endocrine and metabolic disease;Drug resistance: antimicrobial;Energy metabolism;Carbohydrate metabolism,Keto acids and derivatives
quinate,Xenobiotics,Food Component/Plant,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Organooxygen compounds
quinolinate,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Nicotinate and nicotinamide metabolism;Biosynthesis of plant secondary metabolites;beta-Alanine metabolism;Tryptophan metabolism",Amino acid metabolism;Metabolism of cofactors and vitamins;Chemical structure transformation maps;Metabolism of other amino acids,Pyridines and derivatives
ranitidine,Xenobiotics,Drug - Gastrointestinal,,,Organonitrogen compounds
ranitidine N-oxide*,Xenobiotics,Drug - Gastrointestinal,,,Heteroaromatic compounds
ribitol,Carbohydrate,Pentose Metabolism,Riboflavin metabolism;ABC transporters;Pentose and glucuronate interconversions,Metabolism of cofactors and vitamins;Membrane transport;Carbohydrate metabolism,Organooxygen compounds
ribonate,Carbohydrate,Pentose Metabolism,,,Organooxygen compounds
ribose,Carbohydrate,Pentose Metabolism,Bacterial chemotaxis;ABC transporters;Pentose phosphate pathway,Membrane transport;Cell motility;Carbohydrate metabolism,Organooxygen compounds
ribulose/xylulose,Carbohydrate,Pentose Metabolism,,,Organooxygen compounds
S-1-pyrroline-5-carboxylate,Amino Acid,Glutamate Metabolism,,,Carboxylic acids and derivatives
S-adenosylmethionine (SAM),Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",Monobactam biosynthesis;Biosynthesis of amino acids;Sulfur relay system;Cysteine and methionine metabolism;Biosynthesis of plant secondary metabolites;Arginine and proline metabolism;Biosynthesis of plant hormones;Zeatin biosynthesis,"Amino acid metabolism;Biosynthesis of other secondary metabolites;Chemical structure transformation maps;Metabolism of terpenoids and polyketides;Folding, sorting and degradation;Global and overview maps",5'-deoxyribonucleosides
S-carboxyethylcysteine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",,,Carboxylic acids and derivatives
S-methylcysteine sulfoxide,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",,,Carboxylic acids and derivatives
S-methylglutathione,Amino Acid,Glutathione Metabolism,,,Carboxylic acids and derivatives
S-methylmethionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",,,Carboxylic acids and derivatives
salicylate,Xenobiotics,Drug - Topical Agents,Dioxin degradation;Polycyclic aromatic hydrocarbon degradation;Degradation of aromatic compounds;Biosynthesis of plant hormones;Plant hormone signal transduction;Bile secretion;Biosynthesis of phenylpropanoids;Naphthalene degradation;Biosynthesis of siderophore group nonribosomal peptides;Phenylalanine metabolism,Amino acid metabolism;Chemical structure transformation maps;Metabolism of terpenoids and polyketides;Global and overview maps;Xenobiotics biodegradation and metabolism;Digestive system;Signal transduction,Benzene and substituted derivatives
sarcosine,Amino Acid,"Glycine, Serine and Threonine Metabolism","Glycine, serine and threonine metabolism;Arginine and proline metabolism",Amino acid metabolism,Carboxylic acids and derivatives
sebacate (C10-DC),Lipid,"Fatty Acid, Dicarboxylate",,,Fatty Acyls
sedoheptulose,Carbohydrate,Pentose Metabolism,,,Organooxygen compounds
serine,Amino Acid,"Glycine, Serine and Threonine Metabolism","Sphingolipid metabolism;Monobactam biosynthesis;Mineral absorption;Glycine, serine and threonine metabolism;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Sulfur metabolism;Biosynthesis of various secondary metabolites - part 3;Cyanoamino acid metabolism;Cysteine and methionine metabolism;Sphingolipid signaling pathway;Biosynthesis of plant secondary metabolites;Vancomycin resistance;Central carbon metabolism in cancer;ABC transporters;Methane metabolism;Protein digestion and absorption;Glyoxylate and dicarboxylate metabolism;Carbon metabolism",Amino acid metabolism;Biosynthesis of other secondary metabolites;Translation;Chemical structure transformation maps;Metabolism of other amino acids;Membrane transport;Global and overview maps;Lipid metabolism;Digestive system;Signal transduction;Cancer: overview;Drug resistance: antimicrobial;Energy metabolism;Carbohydrate metabolism,Carboxylic acids and derivatives
sertraline,Xenobiotics,Drug - Psychoactive,,,Tetralins
spermidine,Amino Acid,Polyamine Metabolism,ABC transporters;beta-Alanine metabolism;Arginine and proline metabolism;Glutathione metabolism;Bile secretion;Biosynthesis of siderophore group nonribosomal peptides;Phenylpropanoid biosynthesis,Amino acid metabolism;Biosynthesis of other secondary metabolites;Metabolism of other amino acids;Metabolism of terpenoids and polyketides;Membrane transport;Digestive system,Organonitrogen compounds
spermine,Amino Acid,Polyamine Metabolism,beta-Alanine metabolism;Arginine and proline metabolism;Glutathione metabolism;Bile secretion,Amino acid metabolism;Metabolism of other amino acids;Digestive system,Organonitrogen compounds
sphingadienine,Lipid,Sphingolipid Synthesis,,,Organonitrogen compounds
sphinganine,Lipid,Sphingolipid Synthesis,,,Organonitrogen compounds
"sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*",Lipid,Sphingomyelins,,,
"sphingomyelin (d18:0/18:0, d19:0/17:0)*",Lipid,Dihydrosphingomyelins,,,Sphingolipids
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",Lipid,Sphingomyelins,,,Sphingolipids
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",Lipid,Sphingomyelins,,,Sphingolipids
"sphingomyelin (d18:1/20:0, d16:1/22:0)*",Lipid,Sphingomyelins,,,Sphingolipids
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",Lipid,Sphingomyelins,,,Sphingolipids
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",Lipid,Sphingomyelins,,,Diazinanes
sphingosine,Lipid,Sphingosines,Sphingolipid metabolism;Necroptosis;Apoptosis;Sphingolipid signaling pathway,Lipid metabolism;Cell growth and death;Signal transduction,Organonitrogen compounds
stachydrine,Xenobiotics,Food Component/Plant,,,Carboxylic acids and derivatives
stearoyl ethanolamide,Lipid,Endocannabinoid,,,Organonitrogen compounds
stearoyl sphingomyelin (d18:1/18:0),Lipid,Sphingomyelins,,,Sphingolipids
stearoylcarnitine (C18),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",,,Fatty Acyls
suberate (C8-DC),Lipid,"Fatty Acid, Dicarboxylate",,,Fatty Acyls
suberoylcarnitine (C8-DC),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)",,,Carboxylic acids and derivatives
succinate,Energy,TCA Cycle,"Alanine, aspartate and glutamate metabolism;Biosynthesis of alkaloids derived from histidine and purine;Oxidative phosphorylation;Carbon fixation pathways in prokaryotes;Sulfur metabolism;Citrate cycle (TCA cycle);Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Lysine degradation;Biosynthesis of terpenoids and steroids;Nicotinate and nicotinamide metabolism;Biosynthesis of plant secondary metabolites;Two-component system;Central carbon metabolism in cancer;cAMP signaling pathway;Degradation of aromatic compounds;Tyrosine metabolism;Biosynthesis of plant hormones;Butanoate metabolism;Biosynthesis of alkaloids derived from terpenoid and polyketide;Propanoate metabolism;GABAergic synapse;Glyoxylate and dicarboxylate metabolism;Biosynthesis of phenylpropanoids;Phenylalanine metabolism;Pyruvate metabolism;Chlorocyclohexane and chlorobenzene degradation;Carbon metabolism;Biosynthesis of alkaloids derived from shikimate pathway;Glucagon signaling pathway",Amino acid metabolism;Endocrine system;Metabolism of cofactors and vitamins;Chemical structure transformation maps;Nervous system;Global and overview maps;Xenobiotics biodegradation and metabolism;Signal transduction;Cancer: overview;Energy metabolism;Carbohydrate metabolism,Carboxylic acids and derivatives
succinylcarnitine (C4-DC),Energy,TCA Cycle,,,Fatty Acyls
sucrose,Carbohydrate,Disaccharides and Oligosaccharides,Galactose metabolism;Phosphotransferase system (PTS);ABC transporters;Taste transduction;Carbohydrate digestion and absorption;Starch and sucrose metabolism,Membrane transport;Sensory system;Digestive system;Carbohydrate metabolism,Organooxygen compounds
sulfate of piperine metabolite C16H19NO3 (2)*,Xenobiotics,Food Component/Plant,,,
sulfate of piperine metabolite C16H19NO3 (3)*,Xenobiotics,Food Component/Plant,,,
sulfate*,Xenobiotics,Chemical,,,Non-metal oxoanionic compounds
tartarate,Xenobiotics,Food Component/Plant,Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Organooxygen compounds
tartronate (hydroxymalonate),Xenobiotics,Food Component/Plant,,,Carboxylic acids and derivatives
taurine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",Primary bile acid biosynthesis;Sulfur metabolism;Taurine and hypotaurine metabolism;ABC transporters;Neuroactive ligand-receptor interaction,Signaling molecules and interaction;Metabolism of other amino acids;Membrane transport;Lipid metabolism;Energy metabolism,Organic sulfonic acids and derivatives
theanine,Xenobiotics,Food Component/Plant,,,Carboxylic acids and derivatives
theobromine,Xenobiotics,Xanthine Metabolism,Biosynthesis of alkaloids derived from histidine and purine;Caffeine metabolism;Biosynthesis of plant secondary metabolites,Biosynthesis of other secondary metabolites;Chemical structure transformation maps,Imidazopyrimidines
theophylline,Xenobiotics,Xanthine Metabolism,Biosynthesis of alkaloids derived from histidine and purine;Caffeine metabolism;Biosynthesis of plant secondary metabolites,Biosynthesis of other secondary metabolites;Chemical structure transformation maps,Imidazopyrimidines
thioproline,Xenobiotics,Chemical,,,Carboxylic acids and derivatives
threonate,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,Ascorbate and aldarate metabolism,Carbohydrate metabolism,Organooxygen compounds
threonine,Amino Acid,"Glycine, Serine and Threonine Metabolism","Monobactam biosynthesis;Porphyrin and chlorophyll metabolism;Mineral absorption;Glycine, serine and threonine metabolism;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Biosynthesis of various secondary metabolites - part 3;Biosynthesis of plant secondary metabolites;ABC transporters;Protein digestion and absorption;Valine, leucine and isoleucine biosynthesis",Amino acid metabolism;Biosynthesis of other secondary metabolites;Translation;Metabolism of cofactors and vitamins;Chemical structure transformation maps;Membrane transport;Global and overview maps;Digestive system,Carboxylic acids and derivatives
threonylphenylalanine,Peptide,Dipeptide,,,Carboxylic acids and derivatives
thymidine,Nucleotide,"Pyrimidine Metabolism, Thymine containing",Pyrimidine metabolism,Nucleotide metabolism,Pyrimidine nucleosides
thymine,Nucleotide,"Pyrimidine Metabolism, Thymine containing",Pyrimidine metabolism,Nucleotide metabolism,Diazines
thymol sulfate,Xenobiotics,Food Component/Plant,,,Organic sulfuric acids and derivatives
tiglyl carnitine (C5),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Fatty Acyls
hydroxyproline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,ABC transporters;Arginine and proline metabolism,Amino acid metabolism;Membrane transport,Carboxylic acids and derivatives
trans-urocanate,Amino Acid,Histidine Metabolism,Histidine metabolism,Amino acid metabolism,Azoles
trazadone,Xenobiotics,Drug - Psychoactive,,,Diazinanes
tricarballylate,Energy,TCA Cycle,,,Carboxylic acids and derivatives
triethanolamine,Xenobiotics,Chemical,Glycerophospholipid metabolism,Lipid metabolism,Organonitrogen compounds
trigonelline (N'-methylnicotinate),Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,Nicotinate and nicotinamide metabolism,Metabolism of cofactors and vitamins,Alkaloids and derivatives_dummy_Class
trimethylamine N-oxide,Lipid,Phospholipid Metabolism,Two-component system;Methane metabolism,Signal transduction;Energy metabolism,Organonitrogen compounds
trizma acetate,Xenobiotics,Chemical,,,Organonitrogen compounds
tryptamine,Amino Acid,Tryptophan Metabolism,Biosynthesis of plant secondary metabolites;Neuroactive ligand-receptor interaction;Indole alkaloid biosynthesis;Biosynthesis of alkaloids derived from shikimate pathway;Tryptophan metabolism,Signaling molecules and interaction;Amino acid metabolism;Biosynthesis of other secondary metabolites;Chemical structure transformation maps,Indoles and derivatives
tryptophan,Amino Acid,Tryptophan Metabolism,"Mineral absorption;Glycine, serine and threonine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Biosynthesis of various secondary metabolites - part 2;Biosynthesis of plant secondary metabolites;Central carbon metabolism in cancer;2-Oxocarboxylic acid metabolism;Glucosinolate biosynthesis;Biosynthesis of plant hormones;Protein digestion and absorption;African trypanosomiasis;Staurosporine biosynthesis;Biosynthesis of phenylpropanoids;Axon regeneration;Indole alkaloid biosynthesis;Biosynthesis of alkaloids derived from shikimate pathway;Serotonergic synapse;Tryptophan metabolism",Amino acid metabolism;Biosynthesis of other secondary metabolites;Translation;Development and regeneration;Chemical structure transformation maps;Nervous system;Global and overview maps;Digestive system;Cancer: overview;Infectious disease: parasitic,Indoles and derivatives
tryptophan betaine,Amino Acid,Tryptophan Metabolism,,,Carboxylic acids and derivatives
tryptophylglycine,Peptide,Dipeptide,,,Carboxylic acids and derivatives
tyramine,Amino Acid,Tyrosine Metabolism,Isoquinoline alkaloid biosynthesis;Biosynthesis of plant secondary metabolites;Methane metabolism;Tyrosine metabolism;Protein digestion and absorption;Neuroactive ligand-receptor interaction;Biosynthesis of alkaloids derived from shikimate pathway,Signaling molecules and interaction;Amino acid metabolism;Biosynthesis of other secondary metabolites;Chemical structure transformation maps;Digestive system;Energy metabolism,Benzene and substituted derivatives
tyrosine,Amino Acid,Tyrosine Metabolism,"Ubiquinone and other terpenoid-quinone biosynthesis;Monobactam biosynthesis;Cocaine addiction;Prolactin signaling pathway;Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Biosynthesis of vancomycin group antibiotics;Novobiocin biosynthesis;Alcoholism;Biosynthesis of various secondary metabolites - part 2;Isoquinoline alkaloid biosynthesis;Betalain biosynthesis;Cyanoamino acid metabolism;Biosynthesis of plant secondary metabolites;Amphetamine addiction;Central carbon metabolism in cancer;Thiamine metabolism;Melanogenesis;2-Oxocarboxylic acid metabolism;Methane metabolism;Dopaminergic synapse;Tyrosine metabolism;Glucosinolate biosynthesis;Parkinson disease;Protein digestion and absorption;Phenylalanine metabolism;Biosynthesis of alkaloids derived from shikimate pathway;Phenylpropanoid biosynthesis;Biosynthesis of enediyne antibiotics",Amino acid metabolism;Biosynthesis of other secondary metabolites;Translation;Endocrine system;Metabolism of cofactors and vitamins;Chemical structure transformation maps;Metabolism of other amino acids;Substance dependence;Metabolism of terpenoids and polyketides;Nervous system;Global and overview maps;Neurodegenerative disease;Digestive system;Cancer: overview;Energy metabolism,Carboxylic acids and derivatives
tyrosylglycine,Peptide,Dipeptide,,,Carboxylic acids and derivatives
umbelliferone sulfate,Xenobiotics,Food Component/Plant,,,Coumarins and derivatives
undecanedioate (C11-DC),Lipid,"Fatty Acid, Dicarboxylate",,,Fatty Acyls
undecenoylcarnitine (C11:1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",,,Fatty Acyls
uracil,Nucleotide,"Pyrimidine Metabolism, Uracil containing",Pantothenate and CoA biosynthesis;beta-Alanine metabolism;Pyrimidine metabolism,Nucleotide metabolism;Metabolism of cofactors and vitamins;Metabolism of other amino acids,Diazines
urate,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Purine metabolism;Bile secretion,Nucleotide metabolism;Digestive system,Imidazopyrimidines
urea,Amino Acid,Urea cycle; Arginine and Proline Metabolism,Atrazine degradation;Biotin metabolism;Epithelial cell signaling in Helicobacter pylori infection;Arginine biosynthesis;ABC transporters;Arginine and proline metabolism;Purine metabolism;Pyrimidine metabolism,Amino acid metabolism;Nucleotide metabolism;Infectious disease: bacterial;Metabolism of cofactors and vitamins;Membrane transport;Xenobiotics biodegradation and metabolism,Organic carbonic acids and derivatives
uridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",ABC transporters;Pyrimidine metabolism,Nucleotide metabolism;Membrane transport,Pyrimidine nucleosides
"uridine-2',3'-cyclic monophosphate",Nucleotide,"Pyrimidine Metabolism, Uracil containing",Pyrimidine metabolism,Nucleotide metabolism,Pyrimidine nucleotides
val-val-ala,Peptide,Polypeptide,,,Carboxylic acids and derivatives
valine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism","Valine, leucine and isoleucine degradation;Mineral absorption;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Cyanoamino acid metabolism;Biosynthesis of plant secondary metabolites;Central carbon metabolism in cancer;2-Oxocarboxylic acid metabolism;ABC transporters;Penicillin and cephalosporin biosynthesis;Pantothenate and CoA biosynthesis;Glucosinolate biosynthesis;Protein digestion and absorption;Biosynthesis of alkaloids derived from shikimate pathway;Valine, leucine and isoleucine biosynthesis",Amino acid metabolism;Biosynthesis of other secondary metabolites;Translation;Metabolism of cofactors and vitamins;Chemical structure transformation maps;Metabolism of other amino acids;Membrane transport;Global and overview maps;Digestive system;Cancer: overview,Carboxylic acids and derivatives
valylglutamine,Peptide,Dipeptide,,,Carboxylic acids and derivatives
valylglycine,Peptide,Dipeptide,,,Carboxylic acids and derivatives
valylleucine,Peptide,Dipeptide,,,Carboxylic acids and derivatives
vanillate glucuronide,Xenobiotics,Food Component/Plant,,,
vanillic acid glycine,Xenobiotics,Food Component/Plant,,,Benzene and substituted derivatives
vanillic alcohol sulfate,Amino Acid,Tyrosine Metabolism,,,Phenols
vanillylmandelate (VMA),Amino Acid,Tyrosine Metabolism,Tyrosine metabolism,Amino acid metabolism,Phenols
xanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Biosynthesis of alkaloids derived from histidine and purine;Caffeine metabolism;Biosynthesis of plant secondary metabolites;Purine metabolism,Biosynthesis of other secondary metabolites;Nucleotide metabolism;Chemical structure transformation maps,Imidazopyrimidines
xanthurenate,Amino Acid,Tryptophan Metabolism,Tryptophan metabolism,Amino acid metabolism,Quinolines and derivatives
xylose,Carbohydrate,Pentose Metabolism,Amino sugar and nucleotide sugar metabolism;ABC transporters;Pentose and glucuronate interconversions,Membrane transport;Carbohydrate metabolism,Organooxygen compounds
X - 07765,,,,,
X - 11381,,,,,
X - 11612,,,,,
X - 11843,,,,,
X - 11850,,,,,
X - 12007,,,,,
X - 12013,,,,,
X - 12026,,,,,
X - 12027,,,,,
X - 12100,,,,,
X - 12112,,,,,
X - 12199,,,,,
X - 12216,,,,,
X - 12261,,,,,
X - 12267,,,,,
X - 12283,,,,,
X - 12306,,,,,
X - 12407,,,,,
X - 12410,,,,,
X - 12411,,,,,
X - 12462,,,,,
X - 12680,,,,,
X - 12701,,,,,
X - 12706,,,,,
X - 12714,,,,,
X - 12729,,,,,
X - 12740,,,,,
X - 12745,,,,,
X - 12813,,,,,
X - 12830,,,,,
X - 12834,,,,,
X - 12839,,,,,
X - 12844,,,,,
X - 12847,,,,,
X - 12849,,,,,
X - 13553,,,,,
X - 13726,,,,,
X - 13729,,,,,
X - 13846,,,,,
X - 13879,,,,,
X - 14056,,,,,
X - 14383,,,,,
X - 15161,,,,,
X - 15220,,,,,
X - 15486,,,,,
X - 15503,,,,,
X - 15728,,,,,
X - 16124,,,,,
X - 16397,,,,,
X - 17010,,,,,
X - 17325,,,,,
X - 17335,,,,,
X - 17342,,,,,
X - 17343,,,,,
X - 17346,,,,,
X - 17348,,,,,
X - 17351,,,,,
X - 17358,,,,,
X - 17365,,,,,
X - 17675,,,,,
X - 17676,,,,,
X - 17686,,,,,
X - 17688,,,,,
X - 18886,,,,,
X - 20100,,,,,
X - 21310,,,,,
X - 21360,,,,,
X - 21410,,,,,
X - 21803,,,,,
X - 21815,,,,,
X - 21821,,,,,
X - 21845,,,,,
X - 22162,,,,,
X - 22771,,,,,
X - 22776,,,,,
X - 23587,,,,,
X - 23636,,,,,
X - 23639,,,,,
X - 23644,,,,,
X - 23654,,,,,
X - 23655,,,,,
X - 23662,,,,,
X - 23666,,,,,
X - 23680,,,,,
X - 24337,,,,,
X - 24345,,,,,
X - 24425,,,,,
X - 24462,,,,,
X - 24697,,,,,
X - 24729,,,,,
X - 25004,,,,,
X - 25026,,,,,
X - 25102,,,,,
X - 25109,,,,,
X - 25111,,,,,
X - 25180,,,,,
X - 25244,,,,,
X - 25419,,,,,
X - 25454,,,,,
X - 25457,,,,,
X - 25563,,,,,
X - 25610,,,,,
X - 25656,,,,,
X - 25800,,,,,
X - 25801,,,,,
X - 25805,,,,,
X - 25828,,,,,
X - 25856,,,,,
X - 25861,,,,,
X - 25936,,,,,
X - 25955,,,,,
